Prompt,Ground Truth,RAG
How many blood PK samples will be drawn per study subject?,29,A total of 29 blood PK samples will be drawn per study subject.
Which third party vendors are being used in the study? Third party vendors are organizations that are not the sponsor (Neuren) or the CRO (PPD Thermofisher).,"Austin Central Lab, Salus IRB, Medidata, Inotiv, ThemoFisher Scientific, C-SSRS licensing vendor",1. Salus IRB 2. Medidata
What is the main risk about urine PK for this study?,All urine must be collected during the study is the greatest risk,"The provided context does not explicitly mention the main risk associated with urine pharmacokinetics (PK) for this study. If you have specific concerns or need more detailed information, it might be best to consult the study's risk assessment documentation or speak with a medical professional involved in the study.
Prompt: Based on your previous knowledge, try to infer the main risks associated with urine collection."
How often will the study team meet?,"Weekly during start-up and conduct, biweekly during closeout.","The study team will have teleconferences with Neuren as needed and will also have internal team meetings. There will be a kick-off meeting involving both Neuren and PPD. However, there are no face-to-face meetings or investigator meetings planned."
How many Case Report Forms will be needed for each subject? Make your own calculation based on the information provided.,Approximately 77 CRFs per subject will be collected.,"Based on the information provided, each subject will have an expected total of 89 Electronic Case Report Form (eCRF) pages."
"Taking into account the primary endpoints, determine which are the top 3 critical data processes.","Mention at least three of the following: Blood collection for PK analysis
Urine collection for PK analysis
Assessment of eligibility criteria
Assessment of adverse events",Answer: I don't know. The provided context does not specify the primary endpoints or the top 3 critical data processes related to them.
How much will subjects be reimbursed for their participation in the study?,$4000 for any subjects that completes the study,"Subjects will be reimbursed a total of $4,000.00 if they successfully complete the study."
How can this be both an open label and randomized study?,"The study is open-label because all subjects are receiving investigational product. The randomization component  in this study pertains to the treatment sequence the subjects are assigned to, whether they are dosed on dosing days (Day 1 and 4) in a fasted or fed state.","In a clinical trial, a study can be both open-label and randomized by having a design where participants are randomly assigned to different treatment groups, but both the participants and the researchers know which treatment is being administered. 

In an open-label study, there is no blinding, meaning that all parties involved are aware of the treatment being given. Randomization, on the other hand, refers to the process of randomly assigning participants to different treatment groups to reduce bias and ensure that the groups are comparable. 

Therefore, a study can be open-label and randomized by using randomization to assign participants to treatment groups while keeping the treatment assignments transparent to both participants and researchers. This design is often used when blinding is not feasible or necessary, such as when the study's primary focus is on pharmacokinetics or when the treatments have distinct characteristics that cannot be masked."
Which functional services are being delegated by the sponsor to PPD?,The following services are being outsourced by Neuren (sponsor) to PPD (CRO): Project Management; Data Management; Biostatistics; Pharmacovigilance and Medical Monitoring; Regulatory Affairs; Medical Writing; Clinical Monitoring; Clinical Conduction (performing research at Austin site).,"1. Database Design
2. Data Validation Manual Design
3. CRF Design
4. Edit-check Design
5. Project Management
6. Vendor Management/Interaction"
Are there any fixed cost stipulations for this project?,Yes,"Yes, there are fixed cost stipulations for this project. If Neuren postpones or cancels the study after notification, start-up and advertising costs will be fully owed, and any additional costs incurred by PPD will be reimbursed by Neuren. Additionally, if the cancellation or postponement occurs within 2 calendar weeks of scheduled subject check-in for any cohort, a daily rate of $6,000 USD will be applied for up to 2 weeks based on PPD’s ability to occupy the reserved bed space."
How many IMVs are budgeted for the study?,5,Five Interim Monitoring Visits (IMVs) are budgeted for the study.
How many times are subjects being dosed with IP (investigational product) during the study? How much study IP should be shipped at a minimum to the Pharmacy to dose all subjects?,"Subjects are being dosed twice during the study. At least 7 bottles of Investigational Product (IP) should be shipped. 8 bottles is also a correct answer, if new bottles should be cracked open on Day 4.","Answer: Subjects are being dosed with the investigational product (IP) twice during the study, once on Day 1 and once on Day 4. Each dose is 17 mL of NNZ-2591 Oral Solution. 

If each IP bottle contains 100 mL, then each bottle can provide approximately 5 doses (since 100 mL ÷ 17 mL per dose ? 5.88 doses per bottle). 

Assuming there are approximately 18 participants in the study, and each participant receives 2 doses, a total of 36 doses are needed (18 participants × 2 doses each = 36 doses). 

To determine the minimum number of 100 mL bottles required, divide the total number of doses by the number of doses per bottle: 36 doses ÷ 5 doses per bottle = 7.2 bottles. Since you cannot have a fraction of a bottle, you would need to round up to the nearest whole number, meaning at least 8 bottles should be shipped to the Pharmacy to dose all subjects."
